,Admin2,Province_State,Lat,Long_
378,ARICANDUVA,MINAS GERAIS,-17.8666,-42.5533
379,ARINOS,MINAS GERAIS,-15.9187,-46.1043
380,ARIPUANA,MATO GROSSO,-10.1723,-59.4568
381,ARIQUEMES,RONDONIA,-9.905710000000001,-63.0325
382,ARIRANHA,SAO PAULO,-21.1872,-48.7904
383,ARIRANHA DO IVAI,PARANA,-24.3857,-51.5839
384,ARMACAO DOS BUZIOS,RIO DE JANEIRO,-22.7528,-41.8846
385,ARMAZEM,SANTA CATARINA,-28.2448,-49.0215
386,ARNEIROZ,CEARA,-6.3165,-40.1653
387,AROAZES,PIAUI,-6.11022,-41.7822
388,AROEIRAS,PARAIBA,-7.54473,-35.7066
389,AROEIRAS DO ITAIM,PIAUI,-7.245019999999999,-41.5325
390,ARRAIAL,PIAUI,-6.65075,-42.5418
391,ARRAIAL DO CABO,RIO DE JANEIRO,-22.9774,-42.0267
392,ARRAIAS,TOCANTINS,-12.9287,-46.9359
393,ARROIO DO MEIO,RIO GRANDE DO SUL,-29.4014,-51.9557
394,ARROIO DO PADRE,RIO GRANDE DO SUL,-31.4389,-52.4246
395,ARROIO DO SAL,RIO GRANDE DO SUL,-29.5439,-49.8895
396,ARROIO DO TIGRE,RIO GRANDE DO SUL,-29.3348,-53.0966
397,ARROIO DOS RATOS,RIO GRANDE DO SUL,-30.0875,-51.7275
398,ARROIO GRANDE,RIO GRANDE DO SUL,-32.2327,-53.0862
399,ARROIO TRINTA,SANTA CATARINA,-26.9257,-51.3407
400,ARTUR NOGUEIRA,SAO PAULO,-22.5727,-47.1727
401,ARUANA,GOIAS,-14.9166,-51.075
402,ARUJA,SAO PAULO,-23.3965,-46.32
403,ARVOREDO,SANTA CATARINA,-27.0748,-52.4543
404,ARVOREZINHA,RIO GRANDE DO SUL,-28.8737,-52.1781
405,ASCURRA,SANTA CATARINA,-26.9548,-49.3783
406,ASPASIA,SAO PAULO,-20.16,-50.728
407,ASSAI,PARANA,-23.3697,-50.8459
408,ASSARE,CEARA,-6.8669,-39.8689
409,ASSIS,SAO PAULO,-22.66,-50.4183
410,ASSIS BRASIL,ACRE,-10.9298,-69.5738
411,ASSIS CHATEAUBRIAND,PARANA,-24.4168,-53.5213
412,ASSUNCAO,PARAIBA,-7.072310000000001,-36.725
413,ASSUNCAO DO PIAUI,PIAUI,-5.865,-41.0389
414,ASTOLFO DUTRA,MINAS GERAIS,-21.3184,-42.8572
415,ASTORGA,PARANA,-23.2318,-51.6668
416,ATALAIA,PARANA,-23.1517,-52.0551
417,ATALAIA,ALAGOAS,-9.5119,-36.0086
418,ATALAIA DO NORTE,AMAZONAS,-4.37055,-70.1967
419,ATALANTA,SANTA CATARINA,-27.4219,-49.7789
420,ATALEIA,MINAS GERAIS,-18.0438,-41.1149
421,ATIBAIA,SAO PAULO,-23.1171,-46.5563
422,ATILIO VIVACQUA,ESPIRITO SANTO,-20.913,-41.1986
423,AUGUSTINOPOLIS,TOCANTINS,-5.46863,-47.8863
424,AUGUSTO CORREA,PARA,-1.0510899999999999,-46.6147
425,AUGUSTO DE LIMA,MINAS GERAIS,-18.0997,-44.2655
426,AUGUSTO PESTANA,RIO GRANDE DO SUL,-28.5172,-53.9883
427,AUGUSTO SEVERO (CAMPO GRANDE),RIO GRANDE DO NORTE,-5.86206,-37.3135
428,AUREA,RIO GRANDE DO SUL,-27.6936,-52.0505
429,AURELINO LEAL,BAHIA,-14.321,-39.329
430,AURIFLAMA,SAO PAULO,-20.6836,-50.5572
431,AURILANDIA,GOIAS,-16.6773,-50.4641
432,AURORA,CEARA,-6.933489999999999,-38.9742
433,AURORA,SANTA CATARINA,-27.3098,-49.6295
434,AURORA DO PARA,PARA,-2.14898,-47.5677
435,AURORA DO TOCANTINS,TOCANTINS,-12.7105,-46.4076
436,AUTAZES,AMAZONAS,-3.58574,-59.1256
437,AVAI,SAO PAULO,-22.1514,-49.3356
438,AVANHANDAVA,SAO PAULO,-21.4584,-49.9509
439,AVARE,SAO PAULO,-23.1067,-48.9251
440,AVEIRO,PARA,-3.6084099999999997,-55.3199
441,AVELINO LOPES,PIAUI,-10.1345,-43.9563
442,AVELINOPOLIS,GOIAS,-16.4672,-49.7579
443,AXIXA,MARANHAO,-2.8393900000000003,-44.062
444,AXIXA DO TOCANTINS,TOCANTINS,-5.61275,-47.7701
445,BABACULANDIA,TOCANTINS,-7.209230000000001,-47.7613
446,BACABAL,MARANHAO,-4.224469999999999,-44.7832
447,BACABEIRA,MARANHAO,-2.9645200000000003,-44.3164
448,BACURI,MARANHAO,-1.6965,-45.1328
449,BACURITUBA,MARANHAO,-2.71,-44.7329
450,BADY BASSITT,SAO PAULO,-20.9197,-49.4385
451,BAEPENDI,MINAS GERAIS,-21.956999999999997,-44.8874
452,BAGE,RIO GRANDE DO SUL,-31.3297,-54.0999
453,BAGRE,PARA,-1.90057,-50.1987
454,BAIA DA TRAICAO,PARAIBA,-6.692089999999999,-34.9381
455,BAIA FORMOSA,RIO GRANDE DO NORTE,-6.3716099999999996,-35.0033
456,BAIANOPOLIS,BAHIA,-12.3016,-44.5388
457,BAIAO,PARA,-2.7902099999999996,-49.6694
458,BAIXA GRANDE,BAHIA,-11.9519,-40.169000000000004
459,BAIXA GRANDE DO RIBEIRO,PIAUI,-7.84903,-45.218999999999994
460,BAIXIO,CEARA,-6.71945,-38.7134
461,BAIXO GUANDU,ESPIRITO SANTO,-19.5213,-41.0109
462,BALBINOS,SAO PAULO,-21.8963,-49.3619
463,BALDIM,MINAS GERAIS,-19.2832,-43.9613
464,BALIZA,GOIAS,-16.1966,-52.5393
465,BALNEARIO ARROIO DO SILVA,SANTA CATARINA,-28.9806,-49.4237
466,BALNEARIO BARRA DO SUL,SANTA CATARINA,-26.4597,-48.6123
467,BALNEARIO CAMBORIU,SANTA CATARINA,-26.9926,-48.6352
468,BALNEARIO GAIVOTA,SANTA CATARINA,-29.1527,-49.5841
469,BALNEARIO PICARRAS,SANTA CATARINA,-26.7639,-48.6717
